,Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
0,4567,44,1.0,36.8476300590569,1231,5.0,5,9.0,1970,0.036122292,B,B,24,4378,0,12312,1,1,B
1,5925,62,1.0,42.49390721216511,1231,10.0,7,17.0,2017,0.072157581,B,B,2,629,1,12312,0,0,A
2,960,27,2.0,59.46367829288154,1231,9.0,19,19.0,1977,0.211401214,B,B,9,1892,0,12312,0,1,B
3,3848,23,3.0,49.64602982741851,1231,6.0,2,2.0,1965,0.014072961,B,B,2,475,0,12312,0,0,B
4,746,74,1.0,53.83705552291424,1231,1.0,8,17.0,1977,0.309479124,B,B,35,7715,4,12312,0,6,B
5,868,38,3.0,87.13999445192246,1231,10.0,4,23.0,2011,0.060753049,B,B,15,2787,2,12312,0,7,B
6,672,62,1.0,46.26945562647919,1231,11.0,8,17.0,2014,0.072157581,B,B,2,629,1,12312,0,0,A
7,2471,2,2.0,48.172968708932885,1231,6.0,4,9.0,1974,0.0,B,B,33,7425,1,12312,2,5,B
8,4510,1,1.0,43.15376113882693,1231,9.0,10,17.0,2014,0.007122317,B,B,1,264,0,12312,0,1,B
9,8354,62,2.0,62.5937866412943,1231,10.0,1,16.0,1981,0.002211665,B,B,39,7614,3,12312,1,5,A
10,6393,8,1.0,41.49650853339136,1231,7.0,4,17.0,2009,0.43788524,B,B,23,5735,3,12312,0,5,B
11,13270,9,3.0,80.59947151905445,1231,1.0,4,1.0,1977,0.161531741,B,B,25,5648,1,12312,2,4,B
12,5250,96,4.0,87.77638168144794,1231,10.0,25,24.0,2014,0.041116354,B,B,53,14892,4,12312,1,4,B
13,16751,74,1.0,54.6141699426221,1231,1.0,8,17.0,1977,0.075778755,B,B,6,1437,3,12312,0,2,B
14,11404,27,1.0,44.41551017635499,1231,1.0,14,1.0,1977,0.072157581,B,B,2,629,1,12312,0,0,A
15,10588,113,2.0,71.82875388902875,1231,10.0,6,22.0,2004,0.050755569,B,B,24,5469,1,12312,0,1,B
16,14925,22,2.0,61.41358310533283,1231,1.0,13,17.0,1977,0.118537385,B,B,30,6207,1,12312,1,0,B
17,6791,1,3.0,72.02327542455551,1231,1.0,4,24.0,1977,0.007122317,B,B,1,264,0,12312,0,1,B
18,16097,57,1.0,44.323796217038144,1231,12.0,4,16.0,2007,0.133215333,B,B,49,11395,3,12312,3,4,A
19,16428,170,3.0,77.0287905358431,1231,10.0,13,17.0,1990,0.21843974,B,B,21,4472,6,12312,4,7,A
20,6945,53,3.0,85.18661187100972,1231,11.0,11,12.0,2017,0.049637257,B,B,34,7759,0,12312,1,3,B
21,3190,9,2.0,64.86239597220232,1231,1.0,7,1.0,1977,0.161531741,B,B,25,5648,1,12312,2,4,B
22,15709,48,3.0,86.48993470329461,1231,1.0,24,1.0,2015,0.041124634,B,B,46,9515,5,12312,1,10,B
23,13155,41,2.0,48.4407146464437,1231,6.0,4,9.0,1979,0.394094211,B,B,3,662,0,12312,0,0,B
24,7675,47,2.0,47.09561396179439,1231,8.0,10,12.0,1970,0.298204575,B,B,16,4048,3,12312,1,3,B
25,14686,1,3.0,77.22988533763153,1231,1.0,18,17.0,1977,0.007122317,B,B,1,264,0,12312,0,1,B
26,609,9,2.0,43.255853827147455,1231,5.0,6,5.0,1972,0.161531741,B,B,25,5648,1,12312,2,4,B
27,11155,150,2.0,43.569924463619735,1231,5.0,4,5.0,1965,0.08761909,B,B,8,1497,5,12312,1,0,B
28,10869,23,3.0,78.00188787116683,1231,1.0,21,25.0,2015,0.075778755,B,B,6,1437,3,12312,0,2,B
29,15742,30,2.0,64.88878321604794,1231,1.0,12,17.0,1977,7.81528e-05,B,B,22,6398,141,12312,3,23,B
30,9245,1,2.0,63.115040972639896,1231,0.0,4,24.0,1977,0.007122317,B,B,1,264,0,12312,0,1,B
31,3340,27,3.0,69.92193904856693,1231,1.0,9,17.0,1977,0.211401214,B,B,9,1892,0,12312,0,1,B
32,2359,53,2.0,60.73449830521805,1231,10.0,17,24.0,2020,0.049637257,B,B,34,7759,0,12312,1,3,B
33,8070,38,2.0,40.2169312091974,1231,7.0,8,9.0,1964,0.060753049,B,B,15,2787,2,12312,0,7,B
34,13707,1,1.0,42.44688260400803,1231,7.0,2,17.0,2015,0.007122317,B,B,1,264,0,12312,0,1,B
35,16079,11,4.0,70.4699405505211,1231,6.0,6,9.0,1970,0.0001696759999999,B,B,36,5992,0,12312,1,1,B
36,15937,9,4.0,92.1582517146398,1231,12.0,4,14.0,1997,0.161531741,B,B,25,5648,1,12312,2,4,B
37,14090,2,1.0,39.08264064099316,1231,7.0,10,14.0,1970,0.0,B,B,33,7425,1,12312,2,5,B
38,9008,72,2.0,47.67098552597152,1231,5.0,5,9.0,1980,0.210473241,B,B,11,2398,2,12312,3,0,B
39,16384,1,2.0,52.77367106330114,1231,10.0,6,17.0,2017,0.007122317,B,B,1,264,0,12312,0,1,B
40,11657,87,3.0,65.75474956064608,1231,6.0,12,12.0,1980,0.100455735,B,B,43,7227,0,12312,1,6,A
41,13151,25,1.0,29.24910777536649,1231,0.0,22,25.0,2016,0.069753361,B,B,53,13670,4,12312,1,11,B
42,8990,27,3.0,58.848188192175634,1231,6.0,11,9.0,1988,0.211401214,B,B,9,1892,0,12312,0,1,B
43,11857,11,2.0,46.5892195156833,1231,5.0,5,5.0,1968,0.0001696759999999,B,B,36,5992,0,12312,1,1,B
44,1565,52,1.0,38.92815373297433,1231,8.0,4,17.0,1994,0.371148999,B,B,34,7065,1,12312,2,5,B
45,8174,23,1.0,46.88683597148046,1231,0.0,3,3.0,2016,0.034656082,B,B,0,168,0,12312,0,0,B
46,9247,67,3.0,65.0196467536,1231,7.0,10,9.0,1979,0.100455735,B,B,43,7227,0,12312,1,6,A
47,10478,6,3.0,80.9861042067384,1231,1.0,10,1.0,2013,0.243204519,B,B,5,1564,0,12312,0,0,B
48,15509,27,2.0,55.43986118530975,1231,10.0,15,17.0,2016,0.011654127,B,B,4,915,0,12312,0,0,B
49,8306,179,2.0,45.597507428135344,1231,5.0,6,5.0,1967,0.037316452,B,B,32,6748,93,12312,4,10,B
50,6642,1,2.0,56.89047833586052,1231,1.0,12,17.0,1977,0.007122317,B,B,1,264,0,12312,0,1,B
51,7472,31,2.0,44.2795413959844,1231,5.0,7,5.0,1960,0.151346216,B,A,32,5889,10,12312,4,1,B
52,15989,62,1.0,47.095405501415,1231,0.0,4,0.0,1977,0.072157581,B,B,2,629,1,12312,0,0,A
53,13682,27,1.0,41.34565024439386,1231,8.0,14,14.0,2007,0.07542368,B,B,11,3097,0,12312,0,0,B
54,163,62,3.0,135.25082847524365,1231,1.0,1,3.0,2018,0.072157581,B,B,2,629,1,12312,0,0,A
55,7076,27,2.0,76.73464350633769,1231,1.0,3,1.0,1977,0.072157581,B,B,2,629,1,12312,0,0,A
56,7478,167,3.0,67.68259884924791,1231,4.0,4,4.0,1949,0.174739084,B,B,17,3379,9,12312,0,3,B
57,3029,13,1.0,43.57357629518538,1231,8.0,11,18.0,2000,0.090799103,B,B,74,19083,2,12312,5,15,B
58,1814,1,1.0,41.11560894052037,1231,0.0,4,17.0,1977,0.007122317,B,B,1,264,0,12312,0,1,B
59,10057,27,1.0,42.916845872695546,1231,6.0,10,15.0,2018,0.072157581,B,B,2,629,1,12312,0,0,A
60,15100,23,3.0,78.98223923932066,1231,1.0,4,25.0,1977,0.075778755,B,B,6,1437,3,12312,0,2,B
61,12694,27,3.0,83.67003174601149,1231,0.0,8,0.0,2015,0.072157581,B,B,2,629,1,12312,0,0,A
62,6291,78,1.0,40.539829225184405,1231,6.0,7,17.0,2002,0.092290642,B,B,21,4346,2,12312,1,2,B
63,12603,27,3.0,87.11106179723497,1231,17.0,2,3.0,2014,0.011654127,B,B,4,915,0,12312,0,0,B
64,3218,38,1.0,47.9813246694989,1231,1.0,8,17.0,2015,0.060753049,B,B,15,2787,2,12312,0,7,B
65,13456,6,1.0,38.90624910827649,1231,6.0,9,17.0,2015,0.243204519,B,B,5,1564,0,12312,0,0,B
66,10170,48,2.0,47.863789962737634,1231,6.0,12,12.0,1982,0.041124634,B,B,46,9515,5,12312,1,10,B
67,4530,23,2.0,92.18193950554456,1231,15.0,3,25.0,2013,0.075778755,B,B,6,1437,3,12312,0,2,B
68,13329,23,2.0,68.09953793820145,1231,1.0,2,17.0,1977,0.075778755,B,B,6,1437,3,12312,0,2,B
69,4820,22,1.0,42.35996399073461,1231,1.0,7,17.0,1977,0.118537385,B,B,30,6207,1,12312,1,0,B
70,10896,21,2.0,44.835016139438665,1231,5.0,3,5.0,1963,0.034331497,B,B,25,5487,3,12312,0,4,B
71,13416,27,1.0,35.54463363125278,1231,1.0,11,1.0,1977,0.072157581,B,B,2,629,1,12312,0,0,A
72,2701,29,3.0,61.04126877093078,1231,5.0,3,5.0,1965,0.069660344,B,B,31,6119,4,12312,1,2,B
73,11265,34,3.0,83.82724048818885,1231,10.0,24,25.0,2015,0.069753361,B,B,53,13670,4,12312,1,11,B
74,9189,169,3.0,61.83123391062148,1231,5.0,9,9.0,1977,0.300322518,B,B,52,10311,6,12312,1,9,B
75,1858,100,1.0,29.58575823133833,1231,5.0,3,8.0,1959,0.200146802,B,B,23,3975,8,12312,2,0,B
76,14536,1,3.0,79.66402295933614,1231,1.0,5,17.0,1977,0.007122317,B,B,1,264,0,12312,0,1,B
77,6199,55,3.0,80.34713152431259,1231,10.0,18,17.0,1989,0.041365446,B,B,31,5569,0,12312,1,4,B
78,14730,39,1.0,32.85144357739161,1231,6.0,7,9.0,1962,0.428825818,B,B,25,5011,8,12312,0,2,B
79,7510,44,2.0,54.39922301983204,1231,8.0,18,16.0,1985,0.122190486,B,B,25,4724,2,12312,1,3,B
80,15505,96,1.0,39.455484865289066,1231,9.0,5,9.0,2004,0.041116354,B,B,53,14892,4,12312,1,4,B
81,7446,100,1.0,34.55729086333245,1231,6.0,10,9.0,1966,0.200146802,B,B,23,3975,8,12312,2,0,B
82,14016,179,2.0,40.446433988327634,1231,7.0,9,5.0,1963,0.306977489,B,B,27,5148,14,12312,5,7,B
83,14113,27,1.0,33.31821814724473,1231,5.0,6,5.0,1981,0.051815435,B,B,5,1227,0,12312,0,0,B
84,8721,21,3.0,82.57646498437289,1231,7.0,5,5.0,1958,0.194489265,B,B,47,8004,3,12312,3,5,B
85,6193,99,3.0,78.78613434419736,1231,10.0,2,14.0,1999,0.033493708,B,B,66,10573,1,12312,3,8,B
86,5717,99,2.0,46.334891653768175,1231,6.0,4,9.0,1970,0.033493708,B,B,66,10573,1,12312,3,8,B
87,5427,48,3.0,68.58652194847812,1231,6.0,8,12.0,1982,0.041124634,B,B,46,9515,5,12312,1,10,B
88,9520,108,3.0,81.09213024526821,1231,8.0,3,8.0,1960,0.0,B,B,25,5027,4,12312,1,1,B
89,6869,27,1.0,37.74839849363714,1231,1.0,10,19.0,1977,0.211401214,B,B,9,1892,0,12312,0,1,B
90,1658,78,1.0,32.37262587105627,1231,6.0,6,12.0,1970,0.092290642,B,B,21,4346,2,12312,1,2,B
91,6639,9,2.0,66.38613911569288,1231,13.0,14,14.0,2008,0.161531741,B,B,25,5648,1,12312,2,4,B
92,6283,7,2.0,44.650853695349255,1231,5.0,7,5.0,1966,0.035145267,B,B,42,9292,3,12312,0,3,B
93,6257,62,1.0,43.83591910863056,1231,0.0,9,0.0,1977,0.072157581,B,B,2,629,1,12312,0,0,A
94,15235,139,1.0,35.454027280656064,1231,9.0,8,12.0,1970,0.122090347,B,B,29,6566,7,12312,4,0,B
95,902,27,3.0,99.29319132374468,1231,0.0,2,0.0,1977,0.07542368,B,B,11,3097,0,12312,0,0,B
96,8932,9,3.0,61.62386642520137,1231,6.0,6,9.0,1974,0.13012277,B,B,8,1986,0,12312,0,0,B
97,16469,93,3.0,98.58559190211751,1231,12.0,8,17.0,2009,0.041116354,B,B,53,14892,4,12312,1,4,B
98,2825,8,2.0,62.64316081071747,1231,10.0,13,22.0,2005,0.43788524,B,B,23,5735,3,12312,0,5,B
99,6450,20,3.0,80.27601266469395,1231,13.0,6,17.0,2000,0.019508796,B,B,37,7687,11,12312,5,5,B
100,11366,6,2.0,62.63302347184765,1231,10.0,17,17.0,2017,0.243204519,B,B,5,1564,0,12312,0,0,B
101,3801,78,3.0,84.2392213788685,1231,10.0,6,14.0,2001,0.092290642,B,B,21,4346,2,12312,1,2,B
102,11385,148,1.0,37.66882653105834,1231,9.0,10,12.0,1970,0.313924552,B,B,22,4625,11,12312,2,10,B
103,1079,34,1.0,39.05226829839874,1231,10.0,17,22.0,1995,0.069753361,B,B,53,13670,4,12312,1,11,B
104,3202,191,2.0,52.8922835247166,1231,9.0,17,16.0,1985,0.127375905,B,B,43,8429,3,12312,3,9,B
105,676,85,3.0,54.08853428132322,1231,6.0,8,9.0,1978,0.037177818,B,B,52,11217,1,12312,1,7,B
106,6185,37,2.0,66.89014715756927,1231,7.0,5,10.0,2018,0.178916796,B,B,18,3594,4,12312,1,5,B
107,7730,18,1.0,38.68917519174993,1231,8.0,2,14.0,1988,0.0,B,B,30,5562,0,12312,0,5,A
108,2573,27,2.0,66.33182664515653,1231,1.0,10,17.0,1977,0.017647053,B,B,2,469,0,12312,0,0,B
109,10978,1,2.0,64.35944435742464,1231,1.0,8,17.0,1977,0.007122317,B,B,1,264,0,12312,0,1,B
110,10962,9,3.0,77.07321170375477,1231,10.0,9,14.0,1992,0.161531741,B,B,25,5648,1,12312,2,4,B
111,8870,151,1.0,34.71337120701702,1231,10.0,8,12.0,1968,0.236108458,B,B,16,3893,27,12312,3,10,B
112,8496,128,1.0,38.3653201442884,1231,9.0,13,17.0,1995,0.0,B,B,27,4798,0,12312,2,8,B
113,5517,31,1.0,30.5715003172954,1231,4.0,2,4.0,1958,0.151346216,B,A,32,5889,10,12312,4,1,B
114,927,13,1.0,39.31735061325933,1231,9.0,8,16.0,1986,0.133215333,B,B,49,11395,3,12312,3,4,A
115,13675,78,1.0,43.77742840416781,1231,10.0,19,22.0,2006,0.219006007,B,B,28,6746,3,12312,1,4,B
116,1499,27,3.0,84.72014941664493,1231,1.0,9,12.0,2016,0.072157581,B,B,2,629,1,12312,0,0,A
117,15536,124,3.0,66.6230786819703,1231,9.0,4,12.0,1974,0.16909109,B,B,19,3856,10,12312,2,5,B
118,8602,114,3.0,71.54369310573048,1231,6.0,6,7.0,1977,0.327018035,B,B,12,2270,23,12312,1,0,B
119,12137,124,3.0,94.23797846010334,1231,12.0,12,21.0,2005,0.122090347,B,B,29,6566,7,12312,4,0,B
120,9865,61,2.0,54.320450432075006,1231,11.0,1,16.0,1982,0.300322518,B,B,52,10311,6,12312,1,9,B
121,16353,53,2.0,58.78278704187747,1231,1.0,7,22.0,2016,0.049637257,B,B,34,7759,0,12312,1,3,B
122,15908,61,2.0,46.51061051291392,1231,6.0,9,12.0,1977,0.300322518,B,B,52,10311,6,12312,1,9,B
123,3944,101,2.0,45.01684251607946,1231,6.0,4,5.0,1966,0.225824954,A,B,41,6558,7,12312,3,2,B
124,10359,46,2.0,45.32893674924416,1231,6.0,6,9.0,1970,0.0,B,B,47,11319,0,12312,3,5,B
125,15158,53,2.0,47.83518682937448,1231,6.0,10,9.0,1967,0.049637257,B,B,34,7759,0,12312,1,3,B
126,3259,12,2.0,60.108027807383,1231,10.0,7,16.0,1981,0.090799103,B,B,74,19083,2,12312,5,15,B
127,7220,96,3.0,80.18249326172486,1231,10.0,10,17.0,2003,0.041116354,B,B,53,14892,4,12312,1,4,B
128,13843,67,2.0,51.682261332764966,1231,6.0,5,12.0,1980,0.100455735,B,B,43,7227,0,12312,1,6,A
129,16736,44,2.0,43.650442683544085,1231,5.0,4,5.0,1961,0.122190486,B,B,25,4724,2,12312,1,3,B
130,702,46,3.0,62.72339387252833,1231,6.0,7,9.0,1969,0.0,B,B,47,11319,0,12312,3,5,B
131,16401,30,1.0,2.645046457760864,1231,1.0,2,1.0,1977,7.81528e-05,B,B,22,6398,141,12312,3,23,B
132,12134,52,2.0,66.46342969601757,1231,1.0,12,16.0,2015,0.371148999,B,B,34,7065,1,12312,2,5,B
133,6918,23,3.0,105.53513516506445,1231,1.0,6,9.0,1977,0.014072961,B,B,2,475,0,12312,0,0,B
134,11792,6,1.0,42.02458754161445,1231,13.0,21,25.0,1977,0.243204519,B,B,5,1564,0,12312,0,0,B
135,3798,30,2.0,39.18758707431647,1231,1.0,4,1.0,1977,7.81528e-05,B,B,22,6398,141,12312,3,23,B
136,10395,6,1.0,44.49977444312419,1231,1.0,8,1.0,1977,0.243204519,B,B,5,1564,0,12312,0,0,B
137,11099,1,1.0,36.007752888595746,1231,9.0,5,17.0,2010,0.025609157,B,B,33,5261,0,12312,3,1,B
138,7090,94,2.0,52.03477473644265,1231,5.0,5,5.0,1977,0.282797669,B,B,33,8667,2,12312,0,6,B
139,11260,46,2.0,46.81377639633951,1231,5.0,4,5.0,1968,0.0,B,B,47,11319,0,12312,3,5,B
140,9647,62,3.0,93.27499912297137,1231,1.0,5,3.0,1977,0.072157581,B,B,2,629,1,12312,0,0,A
141,2903,25,3.0,97.35372732075814,1231,1.0,23,24.0,1977,0.069753361,B,B,53,13670,4,12312,1,11,B
142,2071,101,2.0,48.57679567393848,1231,5.0,5,5.0,1968,0.225824954,A,B,41,6558,7,12312,3,2,B
143,8604,119,3.0,52.15680548100367,1231,6.0,1,9.0,1971,0.033493708,B,B,66,10573,1,12312,3,8,B
144,9346,125,2.0,47.56702321471278,1231,5.0,7,5.0,1964,0.040242764,B,B,25,3478,11,12312,3,1,B
145,3945,128,2.0,47.87363349415092,1231,6.0,8,9.0,1972,0.0,B,B,27,4798,0,12312,2,8,B
146,3420,9,1.0,38.39566517656586,1231,8.0,11,14.0,2010,0.31019913,B,B,11,2748,1,12312,0,0,B
147,10842,6,1.0,38.63728613062735,1231,1.0,17,17.0,1977,0.243204519,B,B,5,1564,0,12312,0,0,B
148,725,58,2.0,49.8826433899298,1231,6.0,6,14.0,1972,0.31019913,B,B,11,2748,1,12312,0,0,B
149,13931,138,2.0,43.69853923637347,1231,5.0,4,5.0,1963,0.0,B,B,36,6714,2,12312,0,2,B
150,16330,122,2.0,56.21298348811914,1231,9.0,5,17.0,1996,0.033493708,B,B,66,10573,1,12312,3,8,B
151,9066,59,3.0,75.3410686641437,1231,10.0,8,17.0,1987,0.019508796,B,B,37,7687,11,12312,5,5,B
152,3326,13,3.0,76.51840800463705,1231,10.0,6,17.0,1977,0.090799103,B,B,74,19083,2,12312,5,15,B
153,1556,34,2.0,63.279709227873184,1231,1.0,15,1.0,1977,0.069753361,B,B,53,13670,4,12312,1,11,B
154,6579,23,2.0,46.055741062053,1231,5.0,1,2.0,1975,0.034656082,B,B,0,168,0,12312,0,0,B
155,13877,27,2.0,56.78226155296662,1231,10.0,2,5.0,2015,0.07542368,B,B,11,3097,0,12312,0,0,B
156,9857,34,3.0,78.4798682472681,1231,10.0,17,16.0,2002,0.069753361,B,B,53,13670,4,12312,1,11,B
157,7302,62,3.0,62.36385024517085,1231,8.0,10,9.0,1975,0.002211665,B,B,39,7614,3,12312,1,5,A
158,5684,114,1.0,34.133497138417084,1231,7.0,6,8.0,1968,0.050272014,B,B,21,4231,14,12312,0,3,B
159,6513,88,3.0,60.7669618864274,1231,6.0,3,12.0,1974,0.127375905,B,B,43,8429,3,12312,3,9,B
160,11342,27,1.0,38.69279795114794,1231,8.0,16,17.0,1977,0.011654127,B,B,4,915,0,12312,0,0,B
161,16561,21,3.0,63.470494548149325,1231,5.0,7,9.0,1975,0.194489265,B,B,47,8004,3,12312,3,5,B
162,6885,39,2.0,49.41694304254325,1231,5.0,5,5.0,1975,0.428825818,B,B,25,5011,8,12312,0,2,B
163,9308,53,1.0,35.51663856661769,1231,6.0,5,9.0,1975,0.313924552,B,B,22,4625,11,12312,2,10,B
164,2559,23,2.0,73.86846010493733,1231,0.0,9,0.0,1977,0.075778755,B,B,6,1437,3,12312,0,2,B
165,6648,12,1.0,41.873921634502494,1231,8.0,18,17.0,1992,0.090799103,B,B,74,19083,2,12312,5,15,B
166,15260,118,1.0,36.13807008404357,1231,6.0,3,5.0,1959,0.21843974,B,B,21,4472,6,12312,4,7,A
167,5113,41,1.0,40.83976184730634,1231,7.0,5,14.0,2004,0.175054867,B,B,36,10055,3,12312,1,0,B
168,16492,88,1.0,42.865265145509575,1231,0.0,18,0.0,1977,0.127375905,B,B,43,8429,3,12312,3,9,B
169,12034,53,2.0,58.56362485209706,1231,10.0,16,24.0,2019,0.049637257,B,B,34,7759,0,12312,1,3,B
170,7248,37,2.0,49.340231291020594,1231,5.0,9,14.0,1973,0.178916796,B,B,18,3594,4,12312,1,5,B
171,2171,66,2.0,47.87330206990477,1231,4.0,3,5.0,1960,0.161975568,B,A,31,7010,5,12312,3,7,B
172,10594,9,2.0,47.77091955759415,1231,8.0,10,10.0,2008,0.13012277,B,B,8,1986,0,12312,0,0,B
173,13241,61,1.0,40.57629621127623,1231,10.0,6,22.0,1998,0.300322518,B,B,52,10311,6,12312,1,9,B
174,7032,13,1.0,29.57080169699652,1231,5.0,2,5.0,1964,0.133215333,B,B,49,11395,3,12312,3,4,A
175,4884,29,1.0,39.68887710532403,1231,8.0,2,14.0,1977,0.069660344,B,B,31,6119,4,12312,1,2,B
176,903,15,2.0,64.71893532395197,1231,2.0,6,14.0,2009,0.158249043,B,B,21,5731,0,12312,1,0,B
177,162,8,1.0,40.109638589309306,1231,9.0,14,15.0,1977,0.092290642,B,B,21,4346,2,12312,1,2,B
178,6566,75,2.0,65.77312468245391,1231,7.0,6,5.0,1957,0.122090347,B,B,29,6566,7,12312,4,0,B
179,8249,58,1.0,39.7683400120084,1231,8.0,10,10.0,2005,0.31019913,B,B,11,2748,1,12312,0,0,B
180,13106,93,3.0,66.5153415466758,1231,5.0,1,9.0,1973,0.521867054,B,B,25,6149,0,12312,0,0,B
181,256,6,1.0,38.87052458458938,1231,1.0,9,1.0,1977,0.243204519,B,B,5,1564,0,12312,0,0,B
182,7976,23,2.0,64.40535431930748,1231,1.0,16,25.0,1977,0.075778755,B,B,6,1437,3,12312,0,2,B
183,8575,30,2.0,54.61434593862014,1231,1.0,9,17.0,1977,7.81528e-05,B,B,22,6398,141,12312,3,23,B
184,7591,170,3.0,61.37492724098669,1231,6.0,4,9.0,1964,0.21843974,B,B,21,4472,6,12312,4,7,A
185,3204,128,2.0,62.08212168220585,1231,0.0,2,3.0,1977,0.0,B,B,27,4798,0,12312,2,8,B
186,15804,28,2.0,45.53818787128393,1231,5.0,4,5.0,1963,0.118537385,B,B,30,6207,1,12312,1,0,B
187,1525,34,3.0,74.90655619752668,1231,10.0,12,17.0,1993,0.069753361,B,B,53,13670,4,12312,1,11,B
188,9038,1,2.0,65.55264734791389,1231,1.0,15,17.0,1977,0.007122317,B,B,1,264,0,12312,0,1,B
189,13628,44,2.0,46.64393867521876,1231,5.0,7,5.0,1969,0.122190486,B,B,25,4724,2,12312,1,3,B
190,10016,44,2.0,45.24285161400138,1231,6.0,1,9.0,1976,0.122190486,B,B,25,4724,2,12312,1,3,B
191,10208,11,3.0,59.28946961032725,1231,5.0,5,5.0,1964,0.038692987,B,B,28,6533,1,12312,2,5,B
192,2008,94,2.0,48.693295697353975,1231,5.0,7,9.0,1975,0.127375905,B,B,43,8429,3,12312,3,9,B
193,13029,90,2.0,49.36773799954912,1231,9.0,11,12.0,1970,0.265088676,B,B,37,5288,0,12312,3,2,B
194,5099,6,1.0,41.50104016449672,1231,0.0,18,0.0,1977,0.243204519,B,B,5,1564,0,12312,0,0,B
195,9923,12,3.0,73.45472115659649,1231,10.0,17,17.0,1987,0.090799103,B,B,74,19083,2,12312,5,15,B
196,9461,57,1.0,33.008370007723215,1231,6.0,2,9.0,1979,0.407276235,A,B,9,1768,0,12312,0,0,A
197,11086,21,2.0,42.70799497329023,1231,5.0,9,8.0,1964,0.149666373,B,B,22,4789,2,12312,4,1,B
198,15057,178,2.0,55.08731987921566,1231,7.0,4,5.0,1956,0.212515361,B,B,19,3293,16,12312,3,7,B
